epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,8.560762887521042,0.4644708806818182,6.63498779550548,0.583
2,5.9120125233820335,0.6283203125,5.4450447173067875,0.658
3,5.205803242826924,0.6722833806818181,5.028271565072747,0.6846666666666666
4,4.854030157891949,0.6936257102272727,4.729998358165708,0.702
5,4.642425993125233,0.7066761363636364,4.549732633661538,0.7116666666666667
6,4.481536823842586,0.7161044034090909,4.408567035373851,0.7223333333333334
7,4.359843180849815,0.7235795454545455,4.3484347422921195,0.7253333333333334
8,4.268608572758774,0.7289417613636363,4.277787021221435,0.73
9,4.197744902061325,0.7335582386363636,4.2337251959152375,0.7316666666666667
10,4.1392703764084136,0.7363813920454545,4.264053715609404,0.7303333333333333
11,4.0787416341277565,0.7408558238636364,4.1928014375836575,0.733
12,4.042100274225791,0.742862215909091,4.248606758672166,0.731
13,4.00586781984861,0.7450639204545455,4.127467081955147,0.738
14,3.972227248221785,0.7468572443181818,4.120472617203054,0.7373333333333333
15,3.937940996957561,0.7484019886363636,4.114602587082879,0.7373333333333333
16,3.906090116440727,0.7503728693181818,4.0718174774080165,0.74
17,3.8892727918589642,0.7509943181818182,4.044804375483207,0.7416666666666667
18,3.868806357813626,0.7525745738636364,4.0328431007922605,0.7433333333333333
19,3.8511501493154654,0.7533735795454546,3.989097092118905,0.7443333333333333
20,3.8255650975673854,0.7546697443181818,3.985759123275912,0.744
21,3.8285622282600147,0.7548295454545455,4.049529134225897,0.7426666666666667
22,3.799587023967187,0.7561434659090909,3.965099918046723,0.7466666666666667
23,3.7797081177994736,0.7571910511363636,3.9465904797462255,0.7456666666666667
24,3.7868208549470093,0.7571200284090909,3.9983786654464377,0.7446666666666667
25,3.772298043756503,0.7573330965909091,3.978503280985307,0.7433333333333333
26,3.764877898689756,0.7579545454545454,3.969269571510662,0.7443333333333333
27,3.7515096156881076,0.7585404829545455,3.970088062894982,0.7443333333333333
28,3.7509787027688466,0.7586470170454546,3.971029763375945,0.746
29,3.7278581441160434,0.7596235795454546,3.9670775479148146,0.7453333333333333
30,3.7186855738999682,0.7599076704545454,3.9543538520693478,0.7476666666666667
31,3.7224965353655937,0.7598011363636363,3.935783128228397,0.747
32,3.7198421425849704,0.7601917613636363,3.935256662221352,0.7463333333333333
