hidden_size_1,hidden_size_2,init_lr,l2_reg,val_loss,val_accuracy,test_loss,test_accuracy
512,32,0.0005,0.01,18323.028504227557,0.578,59007.67782837806,0.5894
512,32,0.0005,0.001,29977.811281386603,0.35233333333333333,97590.99568853636,0.3644
512,32,0.0005,0.0001,16781.997251546705,0.617,55431.57191700196,0.6218
512,32,0.0005,1e-05,22236.56365081573,0.484,72806.3392218669,0.493
512,32,0.0001,0.01,23897.808546929362,0.4866666666666667,78390.50821978289,0.4932
512,32,0.0001,0.001,22751.304221246857,0.5126666666666667,74765.36967934988,0.5193
512,32,0.0001,0.0001,23172.652048586195,0.49833333333333335,77125.88164580714,0.5005
512,32,0.0001,1e-05,22975.928794700816,0.5086666666666667,75127.26431941113,0.5176
512,64,0.01,0.01,5095.114707401964,0.3873333333333333,16600.697833270246,0.4053
512,64,0.01,0.001,11286.648554269932,0.32466666666666666,35474.25710505282,0.337
512,64,0.01,0.0001,10349.593034062767,0.4713333333333333,33380.91191752079,0.4702
512,64,0.01,1e-05,5338.76964418964,0.368,17631.78500871977,0.3782
512,64,0.005,0.01,18341.966364452386,0.5023333333333333,60248.73677880711,0.5154
512,64,0.005,0.001,4791.226468696128,0.5306666666666666,16078.90266695657,0.5241
512,64,0.005,0.0001,18196.101127468446,0.5683333333333334,59917.921927524425,0.5752
512,64,0.005,1e-05,16783.877874801423,0.6146666666666667,56314.745216781805,0.617
512,64,0.001,0.01,13123.742504764643,0.7013333333333334,45215.94904540534,0.6879
512,64,0.001,0.001,12184.911076408247,0.6823333333333333,41302.48777702855,0.6776
512,64,0.001,0.0001,14349.21086750961,0.674,45751.23563813341,0.6855
512,64,0.001,1e-05,12861.030382179222,0.693,43204.597777381336,0.6864
512,64,0.0005,0.01,14277.483376218468,0.6906666666666667,47136.375517258544,0.6946
512,64,0.0005,0.001,14819.977680902079,0.674,49921.59145754676,0.6708
512,64,0.0005,0.0001,14198.578146751206,0.6966666666666667,47588.17899750022,0.694
512,64,0.0005,1e-05,15119.217211574467,0.6733333333333333,49741.126512454684,0.6733
512,64,0.0001,0.01,21239.85093573371,0.5493333333333333,70512.61787974657,0.553
512,64,0.0001,0.001,21297.664755803948,0.5513333333333333,71292.08588531158,0.5498
512,64,0.0001,0.0001,21292.73628140383,0.5493333333333333,69102.47801014678,0.5623
512,64,0.0001,1e-05,20338.335941952228,0.571,70426.37971523222,0.5525
512,128,0.01,0.01,12037.73137559631,0.4623333333333333,38840.3660318722,0.4763
512,128,0.01,0.001,12937.725041864347,0.5566666666666666,41764.891457077436,0.5591
512,128,0.01,0.0001,9764.168187882062,0.511,32094.963403068403,0.5149
512,128,0.01,1e-05,13941.390604255143,0.5743333333333334,45979.73255698386,0.565
512,128,0.005,0.01,17147.48763707296,0.6136666666666667,54740.12169430754,0.6217
512,128,0.005,0.001,14348.059755167167,0.6846666666666666,49756.52612370763,0.6698
512,128,0.005,0.0001,16202.203869552102,0.6463333333333333,55178.20088136812,0.6338
512,128,0.005,1e-05,16773.401618056145,0.6183333333333333,55787.14183593097,0.6206
512,128,0.001,0.01,12013.988790785163,0.7396666666666667,41314.01248275021,0.7358
512,128,0.001,0.001,11428.580246721796,0.757,39825.11489706967,0.7459
512,128,0.001,0.0001,12270.957201794256,0.7353333333333333,41099.75888880767,0.7346
